iter	Logloss
0	0.6834675672
1	0.6761235209
2	0.6693210397
3	0.6632627343
4	0.6577394777
5	0.6534191002
6	0.6497036739
7	0.6468905067
8	0.644192378
9	0.640874709
10	0.6385662756
11	0.6365279339
12	0.6346099965
13	0.6328800707
14	0.6312743524
15	0.6297286681
16	0.6283883284
17	0.6265210084
18	0.625147014
19	0.6239859914
20	0.6229896437
21	0.621886493
22	0.6207110794
23	0.6198330435
24	0.6190296499
25	0.6181522935
26	0.6173740816
27	0.6165904372
28	0.6158543355
29	0.614113324
30	0.6135611073
31	0.6128933893
32	0.6123497937
33	0.6119294618
34	0.6110197697
35	0.6088522424
36	0.6077446785
37	0.6071780406
38	0.6065925833
39	0.6062825446
40	0.6059461387
41	0.6056056449
42	0.6052123302
43	0.604750082
44	0.6043820369
45	0.6037144668
46	0.6032130978
47	0.6029694598
48	0.6027810582
49	0.602492542
50	0.6021654307
51	0.6016869452
52	0.601308631
53	0.6009629344
54	0.60071109
55	0.6005458395
56	0.5997819699
57	0.5995379197
58	0.5989052325
59	0.5987153079
60	0.5984274419
61	0.5982233664
62	0.597945144
63	0.5977158099
64	0.596329361
65	0.5961441279
66	0.5955821314
67	0.5953307153
68	0.5951512769
69	0.5947880073
70	0.594638443
71	0.594505875
72	0.5943309902
73	0.594115277
74	0.593834996
75	0.5936532315
76	0.5935125293
77	0.593363654
78	0.5931426472
79	0.5930060065
80	0.5928709898
81	0.5926633951
82	0.5924909903
83	0.5923584922
84	0.592286572
85	0.5921051753
86	0.5919474549
87	0.5918416527
88	0.5917443884
89	0.591552551
90	0.5914595415
91	0.5912185864
92	0.5911637776
93	0.5909710888
94	0.589860935
95	0.5897393119
96	0.5893063954
97	0.5892229204
98	0.5883695688
99	0.5881970188
100	0.5880844056
101	0.5879666668
102	0.587787498
103	0.587674016
104	0.5869666132
105	0.5866822872
106	0.5864835574
107	0.5861808642
108	0.5858310722
109	0.5856689561
110	0.5854983512
111	0.5853390025
112	0.5853041252
113	0.5851380398
114	0.5850349901
115	0.5849149958
116	0.5848024302
117	0.5842615164
118	0.5841395856
119	0.5839744299
120	0.5837611683
121	0.5836166512
122	0.5833734463
123	0.5831692479
124	0.5830465758
125	0.5826005967
126	0.5823876107
127	0.5822070277
128	0.582021764
129	0.581920335
130	0.581713706
131	0.581598508
132	0.5815360807
133	0.5814664576
134	0.581409457
135	0.5812342113
136	0.5810843794
137	0.5809300294
138	0.5808322008
139	0.5807692625
140	0.580520257
141	0.5804302854
142	0.5802103498
143	0.5801304838
144	0.5799551902
145	0.5799226331
146	0.5797742397
147	0.5796166748
148	0.5795455469
149	0.5793714199
150	0.5791997108
151	0.5790914317
152	0.5789557257
153	0.5789257536
154	0.5787440923
155	0.578544786
156	0.5784983601
157	0.5783691452
158	0.578257614
159	0.5781042822
160	0.5780716673
161	0.5780401162
162	0.577879545
163	0.5778285377
164	0.5776759396
165	0.5776271675
166	0.5775296005
167	0.57745537
168	0.5774033408
169	0.5773253247
170	0.5772262762
171	0.5770738081
172	0.5769205034
173	0.5767735232
174	0.5766680226
175	0.576568814
176	0.5763639253
177	0.5762461622
178	0.5759502908
179	0.5758184428
180	0.5757346993
181	0.5756928727
182	0.5755978016
183	0.5755375281
184	0.5754054845
185	0.575257788
186	0.5751399576
187	0.57497469
188	0.5748383469
189	0.5747020479
190	0.5746437947
191	0.5746007627
192	0.5745393056
193	0.5744057607
194	0.5743376707
195	0.5742669984
196	0.5741397891
197	0.5740928464
198	0.5739873436
199	0.5739090079
200	0.5737352556
201	0.5736190111
202	0.5735112225
203	0.5734730286
204	0.5733473728
205	0.5732100319
206	0.5731125379
207	0.5729647366
208	0.5729005013
209	0.572797734
210	0.5726719539
211	0.5725326062
212	0.5724968066
213	0.5723721538
214	0.5723584276
215	0.5722453671
216	0.5721494522
217	0.5720258573
218	0.5718773354
219	0.5717903476
220	0.5716463727
221	0.5715689078
222	0.5714729219
223	0.5713422358
224	0.5712596554
225	0.5712062872
226	0.5710938562
227	0.5709986096
228	0.570832206
229	0.5707184096
230	0.570670611
231	0.5705647269
232	0.5704981449
233	0.5704245713
234	0.5703931002
235	0.5702731757
236	0.5702103406
237	0.5701552832
238	0.5698944625
239	0.5698085876
240	0.5696693374
241	0.5695352342
242	0.5694142037
243	0.5693686013
244	0.569259505
245	0.5691981428
246	0.5689998107
247	0.5688780913
248	0.5688440161
249	0.5686619116
250	0.5684460956
251	0.5683398998
252	0.568219027
253	0.5681260162
254	0.567977609
255	0.5679138355
256	0.567811977
257	0.5677075574
258	0.5676400572
259	0.5675774249
260	0.5674582667
261	0.56731546
262	0.5672044958
263	0.5670057546
264	0.5669300671
265	0.5668366576
266	0.5668326609
267	0.5667863532
268	0.566701894
269	0.5665636367
270	0.5664610803
271	0.5664161828
272	0.5663547412
273	0.5662898493
274	0.5662291455
275	0.5661691917
276	0.5661253489
277	0.5660921015
278	0.5659488489
279	0.5658042942
280	0.5657561679
281	0.5657042358
282	0.5656235796
283	0.5655708909
284	0.5654829322
285	0.5654326732
286	0.5652990652
287	0.5652621655
288	0.5652490972
289	0.5651334741
290	0.5651047056
291	0.5649627578
292	0.5648709343
293	0.5648079891
294	0.5647599145
295	0.5646498078
296	0.5645392418
297	0.5643851406
298	0.5642865807
299	0.5642508541
